Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
4A3,0200,4A3,0000,000,0000,000,0000,0000,004,0100
4A3,0200,4A4,0200,4A3,0200,000,04A3,0000,004,0100
4A4,EE17,4A5,EE17,4BC,0000,000,0017,0000,004,0100,4BC,0000
4A5,AE14,4A6,AE14,4BA,FF9C,000,0014,FF9C,008,1000
4A6,0C00,4A7,0C00,7FF,FF9C,7FF,04A6,FF9C,008,1000,7FF,FF9C
4A7,D6CC,6CC,D6CC,7FE,04A8,7FE,D6CC,FF9C,008,1000,7FE,04A8
6CC,AC01,6CD,AC01,7FF,FF9C,7FE,0001,FF9C,008,1000
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,FF9C,008,1000
6CE,F308,6CF,F308,6CE,F308,7FE,06CE,FF9C,008,1000
6CF,7E0A,6D0,7E0A,6DA,F610,7FE,000A,FF9C,001,0001
6D0,F806,6D1,F806,6D0,F806,7FE,06D0,FF9C,001,0001
6D1,F005,6D2,F005,6D1,F005,7FE,06D1,FF9C,001,0001
6D2,0500,6D3,0500,6D2,FF9C,7FE,06D2,FF38,009,1001
6D3,0500,6D4,0500,6D3,FF38,7FE,06D3,FE70,009,1001
6D4,6C01,6D5,6C01,7FF,FF9C,7FE,0001,FED4,008,1000
6D5,4E05,6D6,4E05,6DB,006E,7FE,0005,FF42,008,1000
6D6,CE01,6D8,CE01,6D6,06D8,7FE,0001,FF42,008,1000
6D8,EC01,6D9,EC01,7FF,FF42,7FE,0001,FF42,008,1000,7FF,FF42
6D9,0A00,4A8,0A00,7FE,04A8,7FF,06D9,FF42,008,1000
4A8,0800,4A9,0800,7FF,FF42,000,04A8,FF42,008,1000
4A9,6E12,4AA,6E12,4BC,0000,000,0012,FF42,009,1001
4AA,EE11,4AB,EE11,4BC,FF42,000,0011,FF42,009,1001,4BC,FF42
4AB,AE0D,4AC,AE0D,4B9,1F40,000,000D,1F40,001,0001
4AC,0C00,4AD,0C00,7FF,1F40,7FF,04AC,1F40,001,0001,7FF,1F40
4AD,D6CC,6CC,D6CC,7FE,04AE,7FE,D6CC,1F40,001,0001,7FE,04AE
6CC,AC01,6CD,AC01,7FF,1F40,7FE,0001,1F40,001,0001
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,1F40,001,0001
6CE,F308,6D7,F308,6CE,F308,7FE,0008,1F40,001,0001
6D7,AE02,6D8,AE02,6DA,F610,7FE,0002,F610,009,1001
6D8,EC01,6D9,EC01,7FF,F610,7FE,0001,F610,009,1001,7FF,F610
6D9,0A00,4AE,0A00,7FE,04AE,7FF,06D9,F610,009,1001
4AE,0800,4AF,0800,7FF,F610,000,04AE,F610,009,1001
4AF,6E0C,4B0,6E0C,4BC,FF42,000,000C,F6CE,008,1000
4B0,EE0B,4B1,EE0B,4BC,F6CE,000,000B,F6CE,008,1000,4BC,F6CE
4B1,AE09,4B2,AE09,4BB,E99A,000,0009,E99A,008,1000
4B2,0C00,4B3,0C00,7FF,E99A,7FF,04B2,E99A,008,1000,7FF,E99A
4B3,D6CC,6CC,D6CC,7FE,04B4,7FE,D6CC,E99A,008,1000,7FE,04B4
6CC,AC01,6CD,AC01,7FF,E99A,7FE,0001,E99A,008,1000
6CD,F001,6CE,F001,6CD,F001,7FE,06CD,E99A,008,1000
6CE,F308,6CF,F308,6CE,F308,7FE,06CE,E99A,008,1000
6CF,7E0A,6D0,7E0A,6DA,F610,7FE,000A,E99A,008,1000
6D0,F806,6D7,F806,6D0,F806,7FE,0006,E99A,008,1000
6D7,AE02,6D8,AE02,6DA,F610,7FE,0002,F610,008,1000
6D8,EC01,6D9,EC01,7FF,F610,7FE,0001,F610,008,1000,7FF,F610
6D9,0A00,4B4,0A00,7FE,04B4,7FF,06D9,F610,008,1000
4B4,0800,4B5,0800,7FF,F610,000,04B4,F610,008,1000
4B5,0740,4B6,0740,4B5,0740,000,04B5,F60F,009,1001
4B6,4E05,4B7,4E05,4BC,F6CE,000,0005,ECDD,009,1001
4B7,EE04,4B8,EE04,4BC,ECDD,000,0004,ECDD,009,1001,4BC,ECDD
4B8,0100,4B9,0100,4B8,0100,000,04B8,ECDD,009,1001
